clock-1      | [Clock] 39:snake_length=3 eaten_apples=0 loss=-0.112 policy_loss=-0.003 entropy_mean=1.095 grad_norm=0.389 frames=22  sum_reward=21
clock-1      | [Clock] 40:snake_length=3 eaten_apples=0 loss=-0.075 policy_loss=0.035 entropy_mean=1.093 grad_norm=0.422 frames=16  sum_reward=15
clock-1      | [Clock] 41:snake_length=4 eaten_apples=1 loss=-0.075 policy_loss=0.034 entropy_mean=1.094 grad_norm=0.472 frames=14  sum_reward=14
clock-1      | [Clock] 42:snake_length=4 eaten_apples=1 loss=-0.176 policy_loss=-0.067 entropy_mean=1.094 grad_norm=1.182 frames=7  sum_reward=7
clock-1      | [Clock] 43:snake_length=5 eaten_apples=2 loss=-0.149 policy_loss=-0.040 entropy_mean=1.094 grad_norm=0.527 frames=34  sum_reward=35
clock-1      | [Clock] 44:snake_length=3 eaten_apples=0 loss=-0.119 policy_loss=-0.010 entropy_mean=1.094 grad_norm=0.120 frames=40  sum_reward=39
clock-1      | [Clock] 45:snake_length=3 eaten_apples=0 loss=-0.091 policy_loss=0.019 entropy_mean=1.094 grad_norm=0.202 frames=74  sum_reward=73
clock-1      | [Clock] 46:snake_length=3 eaten_apples=0 loss=-0.120 policy_loss=-0.010 entropy_mean=1.095 grad_norm=0.688 frames=7  sum_reward=6
clock-1      | [Clock] 47:snake_length=3 eaten_apples=0 loss=-0.073 policy_loss=0.037 entropy_mean=1.094 grad_norm=0.586 frames=5  sum_reward=4
clock-1      | [Clock] 48:snake_length=4 eaten_apples=1 loss=-0.157 policy_loss=-0.048 entropy_mean=1.094 grad_norm=0.848 frames=6  sum_reward=6
clock-1      | [Clock] 49:snake_length=3 eaten_apples=0 loss=-0.069 policy_loss=0.040 entropy_mean=1.094 grad_norm=0.928 frames=8  sum_reward=7
clock-1      | [Clock] 50:snake_length=4 eaten_apples=1 loss=-0.104 policy_loss=0.005 entropy_mean=1.093 grad_norm=0.808 frames=8  sum_reward=8
clock-1      | [Clock] 51:snake_length=3 eaten_apples=0 loss=-0.125 policy_loss=-0.015 entropy_mean=1.094 grad_norm=0.415 frames=5  sum_reward=4
clock-1      | [Clock] 52:snake_length=3 eaten_apples=0 loss=-0.125 policy_loss=-0.015 entropy_mean=1.094 grad_norm=0.238 frames=17  sum_reward=16
clock-1      | [Clock] 53:snake_length=3 eaten_apples=0 loss=-0.172 policy_loss=-0.062 entropy_mean=1.094 grad_norm=0.597 frames=9  sum_reward=8
clock-1      | [Clock] 54:snake_length=3 eaten_apples=0 loss=-0.101 policy_loss=0.008 entropy_mean=1.093 grad_norm=0.135 frames=45  sum_reward=44
clock-1      | [Clock] 55:snake_length=4 eaten_apples=1 loss=-0.094 policy_loss=0.016 entropy_mean=1.094 grad_norm=0.594 frames=6  sum_reward=6
clock-1      | [Clock] 56:snake_length=3 eaten_apples=0 loss=0.003 policy_loss=0.112 entropy_mean=1.093 grad_norm=1.370 frames=4  sum_reward=3
clock-1      | [Clock] 57:snake_length=5 eaten_apples=2 loss=-0.202 policy_loss=-0.093 entropy_mean=1.093 grad_norm=0.555 frames=15  sum_reward=16
clock-1      | [Clock] 58:snake_length=3 eaten_apples=0 loss=-0.246 policy_loss=-0.136 entropy_mean=1.094 grad_norm=1.507 frames=4  sum_reward=3
clock-1      | [Clock] 59:snake_length=3 eaten_apples=0 loss=-0.101 policy_loss=0.009 entropy_mean=1.093 grad_norm=0.552 frames=11  sum_reward=10
clock-1      | [Clock] 60:snake_length=3 eaten_apples=0 loss=-0.081 policy_loss=0.028 entropy_mean=1.093 grad_norm=0.482 frames=16  sum_reward=15
clock-1      | [Clock] 61:snake_length=3 eaten_apples=0 loss=-0.116 policy_loss=-0.007 entropy_mean=1.092 grad_norm=0.321 frames=3  sum_reward=2
clock-1      | [Clock] 62:snake_length=3 eaten_apples=0 loss=-0.127 policy_loss=-0.018 entropy_mean=1.092 grad_norm=0.299 frames=11  sum_reward=10
clock-1      | [Clock] 63:snake_length=4 eaten_apples=1 loss=-0.100 policy_loss=0.009 entropy_mean=1.092 grad_norm=0.210 frames=69  sum_reward=69
clock-1      | [Clock] 64:snake_length=3 eaten_apples=0 loss=-0.152 policy_loss=-0.043 entropy_mean=1.092 grad_norm=0.498 frames=29  sum_reward=28
clock-1      | [Clock] 65:snake_length=3 eaten_apples=0 loss=-0.090 policy_loss=0.019 entropy_mean=1.092 grad_norm=0.199 frames=29  sum_reward=28
clock-1      | [Clock] 66:snake_length=4 eaten_apples=1 loss=-0.102 policy_loss=0.008 entropy_mean=1.092 grad_norm=0.280 frames=49  sum_reward=49
clock-1      | [Clock] 67:snake_length=3 eaten_apples=0 loss=-0.112 policy_loss=-0.003 entropy_mean=1.093 grad_norm=0.404 frames=3  sum_reward=2
clock-1      | [Clock] 68:snake_length=4 eaten_apples=1 loss=-0.122 policy_loss=-0.013 entropy_mean=1.092 grad_norm=0.152 frames=132  sum_reward=132
clock-1      | [Clock] 69:snake_length=4 eaten_apples=1 loss=-0.126 policy_loss=-0.016 entropy_mean=1.091 grad_norm=0.331 frames=15  sum_reward=15
clock-1      | [Clock] 70:snake_length=4 eaten_apples=1 loss=-0.080 policy_loss=0.029 entropy_mean=1.092 grad_norm=0.252 frames=85  sum_reward=85
clock-1      | [Clock] 71:snake_length=3 eaten_apples=0 loss=-0.111 policy_loss=-0.002 entropy_mean=1.092 grad_norm=0.222 frames=45  sum_reward=44
clock-1      | [Clock] 72:snake_length=3 eaten_apples=0 loss=-0.130 policy_loss=-0.021 entropy_mean=1.092 grad_norm=0.265 frames=44  sum_reward=43
clock-1      | [Clock] 73:snake_length=3 eaten_apples=0 loss=-0.177 policy_loss=-0.068 entropy_mean=1.091 grad_norm=0.531 frames=10  sum_reward=9
clock-1      | [Clock] 74:snake_length=3 eaten_apples=0 loss=-0.103 policy_loss=0.006 entropy_mean=1.091 grad_norm=0.178 frames=30  sum_reward=29
clock-1      | [Clock] 75:snake_length=4 eaten_apples=1 loss=-0.108 policy_loss=0.001 entropy_mean=1.091 grad_norm=0.266 frames=63  sum_reward=63
clock-1      | [Clock] 76:snake_length=4 eaten_apples=1 loss=-0.070 policy_loss=0.039 entropy_mean=1.091 grad_norm=0.447 frames=21  sum_reward=21
clock-1      | [Clock] 77:snake_length=3 eaten_apples=0 loss=-0.184 policy_loss=-0.075 entropy_mean=1.091 grad_norm=0.982 frames=6  sum_reward=5
clock-1      | [Clock] 78:snake_length=4 eaten_apples=1 loss=-0.142 policy_loss=-0.033 entropy_mean=1.091 grad_norm=0.656 frames=17  sum_reward=17
clock-1      | [Clock] 79:snake_length=3 eaten_apples=0 loss=-0.129 policy_loss=-0.020 entropy_mean=1.091 grad_norm=0.428 frames=11  sum_reward=10
clock-1      | [Clock] 80:snake_length=3 eaten_apples=0 loss=-0.129 policy_loss=-0.020 entropy_mean=1.090 grad_norm=0.430 frames=10  sum_reward=9
clock-1      | [Clock] 81:snake_length=4 eaten_apples=1 loss=-0.192 policy_loss=-0.083 entropy_mean=1.090 grad_norm=0.597 frames=28  sum_reward=28
clock-1      | [Clock] 82:snake_length=3 eaten_apples=0 loss=-0.107 policy_loss=0.002 entropy_mean=1.089 grad_norm=0.125 frames=108  sum_reward=107
clock-1      | [Clock] 83:snake_length=3 eaten_apples=0 loss=-0.137 policy_loss=-0.028 entropy_mean=1.089 grad_norm=0.646 frames=12  sum_reward=11
clock-1      | [Clock] 84:snake_length=3 eaten_apples=0 loss=-0.059 policy_loss=0.050 entropy_mean=1.089 grad_norm=0.383 frames=31  sum_reward=30
clock-1      | [Clock] 85:snake_length=4 eaten_apples=1 loss=-0.115 policy_loss=-0.006 entropy_mean=1.089 grad_norm=0.090 frames=124  sum_reward=124
