clock-1      | [Clock] 39:snake_length=3 eaten_apples=0 loss=-0.127 policy_loss=-0.020 entropy_mean=1.070 grad_norm=0.082 frames=153  sum_reward=152
clock-1      | [Clock] 40:snake_length=3 eaten_apples=0 loss=-0.170 policy_loss=-0.063 entropy_mean=1.071 grad_norm=0.293 frames=85  sum_reward=84
clock-1      | [Clock] 41:snake_length=3 eaten_apples=0 loss=-0.109 policy_loss=-0.002 entropy_mean=1.071 grad_norm=0.062 frames=161  sum_reward=160
clock-1      | [Clock] 42:snake_length=3 eaten_apples=0 loss=-0.113 policy_loss=-0.006 entropy_mean=1.071 grad_norm=0.075 frames=176  sum_reward=175
clock-1      | [Clock] 43:snake_length=4 eaten_apples=1 loss=-0.087 policy_loss=0.021 entropy_mean=1.071 grad_norm=0.114 frames=500  sum_reward=500
clock-1      | [Clock] 44:snake_length=3 eaten_apples=0 loss=-0.111 policy_loss=-0.003 entropy_mean=1.071 grad_norm=0.273 frames=10  sum_reward=9
clock-1      | [Clock] 45:snake_length=3 eaten_apples=0 loss=-0.136 policy_loss=-0.029 entropy_mean=1.071 grad_norm=0.146 frames=74  sum_reward=73
clock-1      | [Clock] 46:snake_length=3 eaten_apples=0 loss=-0.104 policy_loss=0.003 entropy_mean=1.071 grad_norm=0.078 frames=202  sum_reward=201
clock-1      | [Clock] 47:snake_length=4 eaten_apples=1 loss=-0.171 policy_loss=-0.064 entropy_mean=1.070 grad_norm=0.254 frames=12  sum_reward=12
clock-1      | [Clock] 48:snake_length=3 eaten_apples=0 loss=-0.097 policy_loss=0.010 entropy_mean=1.071 grad_norm=0.068 frames=447  sum_reward=446
clock-1      | [Clock] 49:snake_length=3 eaten_apples=0 loss=-0.092 policy_loss=0.015 entropy_mean=1.071 grad_norm=0.075 frames=251  sum_reward=250
clock-1      | [Clock] 50:snake_length=3 eaten_apples=0 loss=-0.124 policy_loss=-0.017 entropy_mean=1.071 grad_norm=0.068 frames=138  sum_reward=137
clock-1      | [Clock] 51:snake_length=4 eaten_apples=1 loss=-0.039 policy_loss=0.068 entropy_mean=1.071 grad_norm=0.249 frames=60  sum_reward=60
clock-1      | [Clock] 52:snake_length=3 eaten_apples=0 loss=-0.091 policy_loss=0.016 entropy_mean=1.071 grad_norm=0.136 frames=326  sum_reward=325
clock-1      | [Clock] 53:snake_length=3 eaten_apples=0 loss=-0.060 policy_loss=0.047 entropy_mean=1.071 grad_norm=0.199 frames=99  sum_reward=98
clock-1      | [Clock] 54:snake_length=3 eaten_apples=0 loss=-0.092 policy_loss=0.015 entropy_mean=1.071 grad_norm=0.089 frames=295  sum_reward=294
clock-1      | [Clock] 55:snake_length=5 eaten_apples=2 loss=0.020 policy_loss=0.127 entropy_mean=1.071 grad_norm=0.465 frames=19  sum_reward=20
clock-1      | [Clock] 56:snake_length=4 eaten_apples=1 loss=-0.309 policy_loss=-0.202 entropy_mean=1.072 grad_norm=0.743 frames=18  sum_reward=18
clock-1      | [Clock] 57:snake_length=3 eaten_apples=0 loss=-0.119 policy_loss=-0.012 entropy_mean=1.072 grad_norm=0.126 frames=292  sum_reward=291
clock-1      | [Clock] 58:snake_length=3 eaten_apples=0 loss=-0.132 policy_loss=-0.024 entropy_mean=1.072 grad_norm=0.158 frames=97  sum_reward=96
clock-1      | [Clock] 59:snake_length=4 eaten_apples=1 loss=-0.066 policy_loss=0.041 entropy_mean=1.072 grad_norm=0.178 frames=45  sum_reward=45
clock-1      | [Clock] 60:snake_length=3 eaten_apples=0 loss=-0.128 policy_loss=-0.021 entropy_mean=1.072 grad_norm=0.237 frames=67  sum_reward=66
clock-1      | [Clock] 61:snake_length=3 eaten_apples=0 loss=-0.121 policy_loss=-0.014 entropy_mean=1.072 grad_norm=0.074 frames=117  sum_reward=116
clock-1      | [Clock] 62:snake_length=3 eaten_apples=0 loss=-0.085 policy_loss=0.022 entropy_mean=1.072 grad_norm=0.120 frames=82  sum_reward=81
clock-1      | [Clock] 63:snake_length=3 eaten_apples=0 loss=-0.082 policy_loss=0.025 entropy_mean=1.072 grad_norm=0.368 frames=94  sum_reward=93
clock-1      | [Clock] 64:snake_length=4 eaten_apples=1 loss=-0.222 policy_loss=-0.115 entropy_mean=1.072 grad_norm=0.456 frames=23  sum_reward=23
clock-1      | [Clock] 65:snake_length=3 eaten_apples=0 loss=-0.099 policy_loss=0.008 entropy_mean=1.072 grad_norm=0.076 frames=500  sum_reward=499
