clock-1      | [Clock] 39:snake_length=3 eaten_apples=0 loss=-0.100 policy_loss=0.009 entropy_mean=1.086 grad_norm=0.114 frames=108  sum_reward=107
clock-1      | [Clock] 40:snake_length=3 eaten_apples=0 loss=-0.063 policy_loss=0.045 entropy_mean=1.085 grad_norm=0.202 frames=19  sum_reward=18
clock-1      | [Clock] 41:snake_length=4 eaten_apples=1 loss=-0.122 policy_loss=-0.013 entropy_mean=1.085 grad_norm=0.249 frames=49  sum_reward=49
clock-1      | [Clock] 42:snake_length=3 eaten_apples=0 loss=-0.095 policy_loss=0.013 entropy_mean=1.086 grad_norm=0.074 frames=88  sum_reward=87
clock-1      | [Clock] 43:snake_length=3 eaten_apples=0 loss=-0.067 policy_loss=0.042 entropy_mean=1.085 grad_norm=0.242 frames=29  sum_reward=28
clock-1      | [Clock] 44:snake_length=3 eaten_apples=0 loss=-0.158 policy_loss=-0.049 entropy_mean=1.085 grad_norm=0.268 frames=29  sum_reward=28
clock-1      | [Clock] 45:snake_length=3 eaten_apples=0 loss=-0.209 policy_loss=-0.101 entropy_mean=1.085 grad_norm=0.760 frames=8  sum_reward=7
clock-1      | [Clock] 46:snake_length=3 eaten_apples=0 loss=-0.151 policy_loss=-0.042 entropy_mean=1.086 grad_norm=0.270 frames=22  sum_reward=21
clock-1      | [Clock] 47:snake_length=3 eaten_apples=0 loss=-0.119 policy_loss=-0.011 entropy_mean=1.085 grad_norm=0.348 frames=8  sum_reward=7
clock-1      | [Clock] 48:snake_length=3 eaten_apples=0 loss=-0.122 policy_loss=-0.014 entropy_mean=1.084 grad_norm=0.098 frames=199  sum_reward=198
clock-1      | [Clock] 49:snake_length=3 eaten_apples=0 loss=-0.036 policy_loss=0.072 entropy_mean=1.084 grad_norm=0.413 frames=51  sum_reward=50
clock-1      | [Clock] 50:snake_length=4 eaten_apples=1 loss=-0.091 policy_loss=0.018 entropy_mean=1.084 grad_norm=0.473 frames=8  sum_reward=8
clock-1      | [Clock] 51:snake_length=4 eaten_apples=1 loss=-0.228 policy_loss=-0.120 entropy_mean=1.084 grad_norm=0.680 frames=10  sum_reward=10
clock-1      | [Clock] 52:snake_length=3 eaten_apples=0 loss=-0.064 policy_loss=0.044 entropy_mean=1.084 grad_norm=0.246 frames=73  sum_reward=72
clock-1      | [Clock] 53:snake_length=3 eaten_apples=0 loss=-0.081 policy_loss=0.027 entropy_mean=1.083 grad_norm=0.207 frames=54  sum_reward=53
clock-1      | [Clock] 54:snake_length=4 eaten_apples=1 loss=-0.155 policy_loss=-0.047 entropy_mean=1.083 grad_norm=0.363 frames=15  sum_reward=15
clock-1      | [Clock] 55:snake_length=4 eaten_apples=1 loss=-0.072 policy_loss=0.037 entropy_mean=1.083 grad_norm=0.235 frames=78  sum_reward=78
clock-1      | [Clock] 56:snake_length=3 eaten_apples=0 loss=-0.117 policy_loss=-0.009 entropy_mean=1.083 grad_norm=0.058 frames=183  sum_reward=182
clock-1      | [Clock] 57:snake_length=4 eaten_apples=1 loss=-0.115 policy_loss=-0.007 entropy_mean=1.083 grad_norm=0.058 frames=164  sum_reward=164
clock-1      | [Clock] 58:snake_length=3 eaten_apples=0 loss=-0.116 policy_loss=-0.007 entropy_mean=1.083 grad_norm=0.173 frames=201  sum_reward=200
clock-1      | [Clock] 59:snake_length=4 eaten_apples=1 loss=-0.082 policy_loss=0.027 entropy_mean=1.083 grad_norm=0.431 frames=56  sum_reward=56
clock-1      | [Clock] 60:snake_length=3 eaten_apples=0 loss=-0.142 policy_loss=-0.034 entropy_mean=1.083 grad_norm=0.167 frames=68  sum_reward=67
clock-1      | [Clock] 61:snake_length=3 eaten_apples=0 loss=-0.111 policy_loss=-0.003 entropy_mean=1.083 grad_norm=0.134 frames=254  sum_reward=253
clock-1      | [Clock] 62:snake_length=3 eaten_apples=0 loss=-0.140 policy_loss=-0.032 entropy_mean=1.083 grad_norm=0.144 frames=274  sum_reward=273
clock-1      | [Clock] 63:snake_length=4 eaten_apples=1 loss=-0.108 policy_loss=-0.000 entropy_mean=1.083 grad_norm=0.133 frames=124  sum_reward=124
clock-1      | [Clock] 64:snake_length=4 eaten_apples=1 loss=-0.101 policy_loss=0.007 entropy_mean=1.083 grad_norm=0.276 frames=31  sum_reward=31
clock-1      | [Clock] 65:snake_length=3 eaten_apples=0 loss=-0.145 policy_loss=-0.037 entropy_mean=1.083 grad_norm=0.288 frames=33  sum_reward=32
clock-1      | [Clock] 66:snake_length=3 eaten_apples=0 loss=-0.181 policy_loss=-0.073 entropy_mean=1.082 grad_norm=0.380 frames=40  sum_reward=39
clock-1      | [Clock] 67:snake_length=4 eaten_apples=1 loss=-0.106 policy_loss=0.002 entropy_mean=1.082 grad_norm=0.090 frames=328  sum_reward=328
clock-1      | [Clock] 68:snake_length=3 eaten_apples=0 loss=-0.152 policy_loss=-0.044 entropy_mean=1.083 grad_norm=0.196 frames=83  sum_reward=82
clock-1      | [Clock] 69:snake_length=3 eaten_apples=0 loss=-0.089 policy_loss=0.020 entropy_mean=1.081 grad_norm=0.474 frames=14  sum_reward=13
clock-1      | [Clock] 70:snake_length=4 eaten_apples=1 loss=-0.104 policy_loss=0.005 entropy_mean=1.082 grad_norm=0.077 frames=207  sum_reward=207
clock-1      | [Clock] 71:snake_length=3 eaten_apples=0 loss=-0.085 policy_loss=0.023 entropy_mean=1.082 grad_norm=0.135 frames=47  sum_reward=46
clock-1      | [Clock] 72:snake_length=4 eaten_apples=1 loss=-0.127 policy_loss=-0.019 entropy_mean=1.082 grad_norm=0.291 frames=32  sum_reward=32
clock-1      | [Clock] 73:snake_length=3 eaten_apples=0 loss=-0.122 policy_loss=-0.014 entropy_mean=1.081 grad_norm=0.050 frames=241  sum_reward=240
clock-1      | [Clock] 74:snake_length=3 eaten_apples=0 loss=-0.106 policy_loss=0.003 entropy_mean=1.081 grad_norm=0.109 frames=137  sum_reward=136
clock-1      | [Clock] 75:snake_length=3 eaten_apples=0 loss=-0.164 policy_loss=-0.056 entropy_mean=1.081 grad_norm=0.222 frames=76  sum_reward=75
clock-1      | [Clock] 76:snake_length=4 eaten_apples=1 loss=-0.105 policy_loss=0.003 entropy_mean=1.081 grad_norm=0.106 frames=126  sum_reward=126
clock-1      | [Clock] 77:snake_length=3 eaten_apples=0 loss=-0.161 policy_loss=-0.053 entropy_mean=1.081 grad_norm=0.221 frames=110  sum_reward=109
clock-1      | [Clock] 78:snake_length=3 eaten_apples=0 loss=-0.183 policy_loss=-0.075 entropy_mean=1.080 grad_norm=0.747 frames=7  sum_reward=6
clock-1      | [Clock] 79:snake_length=3 eaten_apples=0 loss=-0.090 policy_loss=0.018 entropy_mean=1.080 grad_norm=0.131 frames=214  sum_reward=213
clock-1      | [Clock] 80:snake_length=3 eaten_apples=0 loss=-0.021 policy_loss=0.087 entropy_mean=1.080 grad_norm=0.432 frames=33  sum_reward=32
clock-1      | [Clock] 81:snake_length=3 eaten_apples=0 loss=-0.082 policy_loss=0.026 entropy_mean=1.080 grad_norm=0.168 frames=212  sum_reward=211
clock-1      | [Clock] 82:snake_length=3 eaten_apples=0 loss=-0.089 policy_loss=0.019 entropy_mean=1.080 grad_norm=0.101 frames=191  sum_reward=190
clock-1      | [Clock] 83:snake_length=4 eaten_apples=1 loss=-0.118 policy_loss=-0.010 entropy_mean=1.080 grad_norm=0.197 frames=168  sum_reward=168
clock-1      | [Clock] 84:snake_length=3 eaten_apples=0 loss=-0.117 policy_loss=-0.009 entropy_mean=1.080 grad_norm=0.072 frames=199  sum_reward=198
clock-1      | [Clock] 85:snake_length=3 eaten_apples=0 loss=-0.086 policy_loss=0.022 entropy_mean=1.081 grad_norm=0.162 frames=46  sum_reward=45
clock-1      | [Clock] 86:snake_length=3 eaten_apples=0 loss=-0.093 policy_loss=0.015 entropy_mean=1.080 grad_norm=0.108 frames=500  sum_reward=499
clock-1      | [Clock] 87:snake_length=4 eaten_apples=1 loss=-0.094 policy_loss=0.014 entropy_mean=1.080 grad_norm=0.119 frames=179  sum_reward=179
clock-1      | [Clock] 88:snake_length=3 eaten_apples=0 loss=-0.093 policy_loss=0.015 entropy_mean=1.081 grad_norm=0.114 frames=208  sum_reward=207
clock-1      | [Clock] 89:snake_length=3 eaten_apples=0 loss=-0.109 policy_loss=-0.001 entropy_mean=1.081 grad_norm=0.167 frames=58  sum_reward=57
clock-1      | [Clock] 90:snake_length=3 eaten_apples=0 loss=-0.135 policy_loss=-0.027 entropy_mean=1.081 grad_norm=0.365 frames=8  sum_reward=7
clock-1      | [Clock] 91:snake_length=4 eaten_apples=1 loss=-0.100 policy_loss=0.008 entropy_mean=1.081 grad_norm=0.095 frames=107  sum_reward=107
clock-1      | [Clock] 92:snake_length=3 eaten_apples=0 loss=0.011 policy_loss=0.119 entropy_mean=1.080 grad_norm=0.542 frames=27  sum_reward=26
clock-1      | [Clock] 93:snake_length=3 eaten_apples=0 loss=-0.101 policy_loss=0.007 entropy_mean=1.082 grad_norm=0.071 frames=213  sum_reward=212
clock-1      | [Clock] 94:snake_length=3 eaten_apples=0 loss=-0.127 policy_loss=-0.019 entropy_mean=1.082 grad_norm=0.311 frames=93  sum_reward=92
clock-1      | [Clock] 95:snake_length=3 eaten_apples=0 loss=-0.114 policy_loss=-0.006 entropy_mean=1.082 grad_norm=0.102 frames=51  sum_reward=50
clock-1      | [Clock] 96:snake_length=3 eaten_apples=0 loss=-0.088 policy_loss=0.020 entropy_mean=1.082 grad_norm=0.223 frames=42  sum_reward=41
clock-1      | [Clock] 97:snake_length=3 eaten_apples=0 loss=-0.127 policy_loss=-0.018 entropy_mean=1.082 grad_norm=0.216 frames=89  sum_reward=88
clock-1      | [Clock] 98:snake_length=3 eaten_apples=0 loss=-0.098 policy_loss=0.010 entropy_mean=1.083 grad_norm=0.118 frames=56  sum_reward=55
clock-1      | [Clock] 99:snake_length=4 eaten_apples=1 loss=-0.085 policy_loss=0.023 entropy_mean=1.083 grad_norm=0.190 frames=50  sum_reward=50
clock-1      | [Clock] 100:snake_length=3 eaten_apples=0 loss=-0.083 policy_loss=0.026 entropy_mean=1.083 grad_norm=0.214 frames=156  sum_reward=155
clock-1      | [Clock] 101:snake_length=4 eaten_apples=1 loss=-0.251 policy_loss=-0.143 entropy_mean=1.083 grad_norm=0.797 frames=17  sum_reward=17
clock-1      | [Clock] 102:snake_length=3 eaten_apples=0 loss=-0.143 policy_loss=-0.035 entropy_mean=1.083 grad_norm=0.156 frames=140  sum_reward=139
clock-1      | [Clock] 103:snake_length=3 eaten_apples=0 loss=-0.137 policy_loss=-0.029 entropy_mean=1.083 grad_norm=0.274 frames=10  sum_reward=9
clock-1      | [Clock] 104:snake_length=3 eaten_apples=0 loss=-0.161 policy_loss=-0.053 entropy_mean=1.083 grad_norm=0.826 frames=8  sum_reward=7
clock-1      | [Clock] 105:snake_length=4 eaten_apples=1 loss=-0.109 policy_loss=-0.001 entropy_mean=1.084 grad_norm=0.307 frames=33  sum_reward=33
clock-1      | [Clock] 106:snake_length=3 eaten_apples=0 loss=-0.128 policy_loss=-0.020 entropy_mean=1.083 grad_norm=0.146 frames=114  sum_reward=113
clock-1      | [Clock] 107:snake_length=3 eaten_apples=0 loss=-0.098 policy_loss=0.011 entropy_mean=1.083 grad_norm=0.092 frames=236  sum_reward=235
clock-1      | [Clock] 108:snake_length=4 eaten_apples=1 loss=-0.108 policy_loss=-0.000 entropy_mean=1.083 grad_norm=0.118 frames=79  sum_reward=79
clock-1      | [Clock] 109:snake_length=3 eaten_apples=0 loss=0.016 policy_loss=0.124 entropy_mean=1.083 grad_norm=0.661 frames=11  sum_reward=10
clock-1      | [Clock] 110:snake_length=3 eaten_apples=0 loss=-0.111 policy_loss=-0.003 entropy_mean=1.082 grad_norm=0.067 frames=327  sum_reward=326
clock-1      | [Clock] 111:snake_length=3 eaten_apples=0 loss=-0.106 policy_loss=0.002 entropy_mean=1.082 grad_norm=0.097 frames=383  sum_reward=382
clock-1      | [Clock] 112:snake_length=3 eaten_apples=0 loss=-0.117 policy_loss=-0.009 entropy_mean=1.082 grad_norm=0.183 frames=18  sum_reward=17
clock-1      | [Clock] 113:snake_length=3 eaten_apples=0 loss=-0.112 policy_loss=-0.003 entropy_mean=1.082 grad_norm=0.060 frames=301  sum_reward=300
clock-1      | [Clock] 114:snake_length=3 eaten_apples=0 loss=-0.083 policy_loss=0.025 entropy_mean=1.082 grad_norm=0.208 frames=21  sum_reward=20
clock-1      | [Clock] 115:snake_length=4 eaten_apples=1 loss=-0.102 policy_loss=0.007 entropy_mean=1.082 grad_norm=0.050 frames=451  sum_reward=451
clock-1      | [Clock] 116:snake_length=3 eaten_apples=0 loss=-0.180 policy_loss=-0.072 entropy_mean=1.083 grad_norm=0.342 frames=26  sum_reward=25
clock-1      | [Clock] 117:snake_length=4 eaten_apples=1 loss=-0.105 policy_loss=0.003 entropy_mean=1.082 grad_norm=0.042 frames=417  sum_reward=417
clock-1      | [Clock] 118:snake_length=4 eaten_apples=1 loss=-0.125 policy_loss=-0.017 entropy_mean=1.082 grad_norm=0.073 frames=381  sum_reward=381
clock-1      | [Clock] 119:snake_length=4 eaten_apples=1 loss=-0.181 policy_loss=-0.073 entropy_mean=1.083 grad_norm=0.441 frames=35  sum_reward=35
clock-1      | [Clock] 120:snake_length=3 eaten_apples=0 loss=-0.099 policy_loss=0.009 entropy_mean=1.082 grad_norm=0.124 frames=81  sum_reward=80
clock-1      | [Clock] 121:snake_length=3 eaten_apples=0 loss=-0.150 policy_loss=-0.042 entropy_mean=1.081 grad_norm=0.502 frames=15  sum_reward=14
clock-1      | [Clock] 122:snake_length=3 eaten_apples=0 loss=0.013 policy_loss=0.121 entropy_mean=1.082 grad_norm=0.579 frames=21  sum_reward=20
clock-1      | [Clock] 123:snake_length=3 eaten_apples=0 loss=-0.092 policy_loss=0.017 entropy_mean=1.081 grad_norm=0.111 frames=222  sum_reward=221
clock-1      | [Clock] 124:snake_length=3 eaten_apples=0 loss=-0.110 policy_loss=-0.001 entropy_mean=1.082 grad_norm=0.068 frames=138  sum_reward=137
clock-1      | [Clock] 125:snake_length=4 eaten_apples=1 loss=-0.133 policy_loss=-0.025 entropy_mean=1.082 grad_norm=0.125 frames=65  sum_reward=65
clock-1      | [Clock] 126:snake_length=3 eaten_apples=0 loss=-0.122 policy_loss=-0.014 entropy_mean=1.082 grad_norm=0.260 frames=53  sum_reward=52
clock-1      | [Clock] 127:snake_length=4 eaten_apples=1 loss=-0.119 policy_loss=-0.011 entropy_mean=1.082 grad_norm=0.058 frames=422  sum_reward=422
clock-1      | [Clock] 128:snake_length=3 eaten_apples=0 loss=-0.087 policy_loss=0.021 entropy_mean=1.082 grad_norm=0.154 frames=87  sum_reward=86
clock-1      | [Clock] 129:snake_length=3 eaten_apples=0 loss=-0.107 policy_loss=0.001 entropy_mean=1.082 grad_norm=0.111 frames=66  sum_reward=65
clock-1      | [Clock] 130:snake_length=3 eaten_apples=0 loss=-0.135 policy_loss=-0.026 entropy_mean=1.084 grad_norm=0.763 frames=9  sum_reward=8
clock-1      | [Clock] 131:snake_length=3 eaten_apples=0 loss=-0.118 policy_loss=-0.010 entropy_mean=1.082 grad_norm=0.223 frames=9  sum_reward=8
clock-1      | [Clock] 132:snake_length=3 eaten_apples=0 loss=-0.117 policy_loss=-0.009 entropy_mean=1.082 grad_norm=0.053 frames=124  sum_reward=123
clock-1      | [Clock] 133:snake_length=3 eaten_apples=0 loss=-0.125 policy_loss=-0.017 entropy_mean=1.082 grad_norm=0.071 frames=500  sum_reward=499
clock-1      | [Clock] 134:snake_length=3 eaten_apples=0 loss=-0.114 policy_loss=-0.006 entropy_mean=1.082 grad_norm=0.153 frames=186  sum_reward=185
clock-1      | [Clock] 135:snake_length=3 eaten_apples=0 loss=-0.118 policy_loss=-0.010 entropy_mean=1.082 grad_norm=0.120 frames=53  sum_reward=52
clock-1      | [Clock] 136:snake_length=3 eaten_apples=0 loss=-0.139 policy_loss=-0.030 entropy_mean=1.082 grad_norm=0.150 frames=81  sum_reward=80
clock-1      | [Clock] 137:snake_length=3 eaten_apples=0 loss=-0.136 policy_loss=-0.028 entropy_mean=1.081 grad_norm=0.173 frames=49  sum_reward=48
clock-1      | [Clock] 138:snake_length=4 eaten_apples=1 loss=-0.105 policy_loss=0.003 entropy_mean=1.081 grad_norm=0.249 frames=61  sum_reward=61
clock-1      | [Clock] 139:snake_length=4 eaten_apples=1 loss=-0.113 policy_loss=-0.005 entropy_mean=1.081 grad_norm=0.165 frames=30  sum_reward=30
clock-1      | [Clock] 140:snake_length=4 eaten_apples=1 loss=-0.154 policy_loss=-0.046 entropy_mean=1.081 grad_norm=0.226 frames=163  sum_reward=163
clock-1      | [Clock] 141:snake_length=4 eaten_apples=1 loss=-0.110 policy_loss=-0.001 entropy_mean=1.081 grad_norm=0.160 frames=90  sum_reward=90
clock-1      | [Clock] 142:snake_length=3 eaten_apples=0 loss=-0.067 policy_loss=0.041 entropy_mean=1.081 grad_norm=0.287 frames=18  sum_reward=17
clock-1      | [Clock] 143:snake_length=3 eaten_apples=0 loss=-0.143 policy_loss=-0.035 entropy_mean=1.081 grad_norm=0.265 frames=26  sum_reward=25
clock-1      | [Clock] 144:snake_length=3 eaten_apples=0 loss=-0.097 policy_loss=0.011 entropy_mean=1.081 grad_norm=0.137 frames=115  sum_reward=114
clock-1      | [Clock] 145:snake_length=3 eaten_apples=0 loss=-0.094 policy_loss=0.014 entropy_mean=1.080 grad_norm=0.181 frames=152  sum_reward=151
clock-1      | [Clock] 146:snake_length=3 eaten_apples=0 loss=-0.054 policy_loss=0.054 entropy_mean=1.080 grad_norm=0.310 frames=28  sum_reward=27
clock-1      | [Clock] 147:snake_length=4 eaten_apples=1 loss=-0.103 policy_loss=0.005 entropy_mean=1.080 grad_norm=0.105 frames=78  sum_reward=78
clock-1      | [Clock] 148:snake_length=3 eaten_apples=0 loss=-0.045 policy_loss=0.063 entropy_mean=1.081 grad_norm=0.467 frames=22  sum_reward=21
clock-1      | [Clock] 149:snake_length=3 eaten_apples=0 loss=-0.126 policy_loss=-0.017 entropy_mean=1.081 grad_norm=0.161 frames=255  sum_reward=254
clock-1      | [Clock] 150:snake_length=3 eaten_apples=0 loss=-0.168 policy_loss=-0.060 entropy_mean=1.081 grad_norm=0.267 frames=38  sum_reward=37
clock-1      | [Clock] 151:snake_length=3 eaten_apples=0 loss=-0.086 policy_loss=0.023 entropy_mean=1.081 grad_norm=0.191 frames=42  sum_reward=41
clock-1      | [Clock] 152:snake_length=3 eaten_apples=0 loss=-0.076 policy_loss=0.032 entropy_mean=1.081 grad_norm=0.199 frames=26  sum_reward=25
clock-1      | [Clock] 153:snake_length=3 eaten_apples=0 loss=-0.111 policy_loss=-0.003 entropy_mean=1.081 grad_norm=0.036 frames=500  sum_reward=499
clock-1      | [Clock] 154:snake_length=3 eaten_apples=0 loss=-0.063 policy_loss=0.045 entropy_mean=1.081 grad_norm=0.342 frames=16  sum_reward=15
clock-1      | [Clock] 155:snake_length=3 eaten_apples=0 loss=-0.097 policy_loss=0.011 entropy_mean=1.082 grad_norm=0.081 frames=126  sum_reward=125
clock-1      | [Clock] 156:snake_length=4 eaten_apples=1 loss=-0.117 policy_loss=-0.009 entropy_mean=1.082 grad_norm=0.059 frames=141  sum_reward=141
clock-1      | [Clock] 157:snake_length=3 eaten_apples=0 loss=-0.146 policy_loss=-0.038 entropy_mean=1.082 grad_norm=0.167 frames=196  sum_reward=195
clock-1      | [Clock] 158:snake_length=4 eaten_apples=1 loss=-0.159 policy_loss=-0.051 entropy_mean=1.082 grad_norm=0.332 frames=37  sum_reward=37
clock-1      | [Clock] 159:snake_length=3 eaten_apples=0 loss=-0.080 policy_loss=0.028 entropy_mean=1.082 grad_norm=0.177 frames=106  sum_reward=105
clock-1      | [Clock] 160:snake_length=3 eaten_apples=0 loss=-0.121 policy_loss=-0.013 entropy_mean=1.082 grad_norm=0.197 frames=26  sum_reward=25
clock-1      | [Clock] 161:snake_length=4 eaten_apples=1 loss=-0.122 policy_loss=-0.014 entropy_mean=1.082 grad_norm=0.276 frames=45  sum_reward=45
clock-1      | [Clock] 162:snake_length=3 eaten_apples=0 loss=-0.122 policy_loss=-0.014 entropy_mean=1.082 grad_norm=0.130 frames=95  sum_reward=94
clock-1      | [Clock] 163:snake_length=4 eaten_apples=1 loss=-0.117 policy_loss=-0.009 entropy_mean=1.082 grad_norm=0.065 frames=327  sum_reward=327
clock-1      | [Clock] 164:snake_length=4 eaten_apples=1 loss=-0.099 policy_loss=0.009 entropy_mean=1.082 grad_norm=0.074 frames=493  sum_reward=493
clock-1      | [Clock] 165:snake_length=4 eaten_apples=1 loss=-0.130 policy_loss=-0.022 entropy_mean=1.082 grad_norm=0.148 frames=119  sum_reward=119
clock-1      | [Clock] 166:snake_length=3 eaten_apples=0 loss=-0.116 policy_loss=-0.007 entropy_mean=1.082 grad_norm=0.094 frames=128  sum_reward=127
clock-1      | [Clock] 167:snake_length=4 eaten_apples=1 loss=-0.079 policy_loss=0.029 entropy_mean=1.082 grad_norm=0.119 frames=274  sum_reward=274
clock-1      | [Clock] 168:snake_length=3 eaten_apples=0 loss=-0.098 policy_loss=0.010 entropy_mean=1.083 grad_norm=0.397 frames=33  sum_reward=32
